nth,trial,coll.date,site,baggie,colony.id,gps.device,gps.wp,lat,long,depth.below,height.above,camera,habitat,TH.imaging,img.start,img.stop,file.start,file.stop,all.images,filt.images,orientation,notes
136,18,2023-05-24,Hilton,3,HH65,64sx,145,17.47965,149.84195,73,105,2,open,yes,1022,1527,P5241022,P5241527,,,flat,
137,18,2023-05-24,Hilton,4,HH66,64sx,146,17.47969,149.84206,131,78,2,overhang,no,1528,1551,P5241528,P5241551,,,north,
138,18,2023-05-24,Hilton,5,HH67,64sx,147,17.47978,149.84186,93,94,2,open,yes,1552,2065,P5241552,P5242065,,,north,
139,18,2023-05-24,Hilton,6,HH68,64sx,148,17.47990,149.84225,101,75,2,overhang,no,2074,2098,P5242074,P5242098,,,,overhang over a rocky bottom substrate
140,18,2023-05-24,Hilton,7,HH69,64sx,149,17.48012,149.84238,96,70,2,open,no,2099,2115,P5242099,P5242115,,,flat,
141,18,2023-05-24,Hilton,8,HH70,64sx,150,17.48014,149.84247,122,154,2,sheltered,yes,2116,,P5242116,P5242642,,,flat,
142,18,2023-05-24,Hilton,9,HH71,64sx,161,17.48004,149.84254,138,41,2,overhang,no,2660,2673,P5242660,P52422673,,,slightly southeast,
143,19,2023-05-25,Hilton,1,HH72,64sx,162,17.48119,149.84618,75,72,2,crevice,no,1,22,P5250001,P5250022,,,slightly east,
144,19,2023-05-25,Hilton,2,HH73,64sx,167,17.48143,149.84590,123,24,2,open,no,23,40,P5250023,P5250040,,,north,benthic
145,20,2023-05-26,Jet Ski,1,JH58,64sx,181,17.47723,149.78754,114,34,2,overhang,yes,31,509,P5260031,P5260525,,,slightly south,
146,20,2023-05-26,Jet Ski,2,JH59,64sx,182,17.47659,149.78772,74,69,2,crevice,no,535,550,P5260535,P5260550,,,slightly west,
147,20,2023-05-26,Jet Ski,3,JH60,64sx,183,17.47612,149.78818,99,61,2,sheltered/overhang,no,551,568,P5260551,P5260568,,,flat,
148,20,2023-05-26,Jet Ski,4,JH61,64sx,184,17.47554,149.78848,101,68,2,crevice,no,569,582,P5260569,P5260582,,,northeast,
149,20,2023-05-26,Jet Ski,5,JH62,64sx,185,17.47551,149.78854,142,24,2,overhang,no,583,602,P5260583,P5260602,,,west northwest,
150,20,2023-05-26,Jet Ski,6,JH63,64sx,186,17.47575,149.79033,81,88,2,overhang,no,606,626,P5260606,P5260626,,,west,
